,"Site","Year","Month","Week","x","LogNormalized"
"338","Lanark",2021,"01","03",15.4624356758553,2.7384135777006
"339","Lerwick",2021,"01","03",3.26351418459998,1.18280458552156
"340","Levenmouth",2021,"01","03",15.2944136197381,2.72748763883186
"341","Linlithgow",2021,"01","03",21.0366523095867,3.04626626444896
"342","Lockerbie",2021,"01","03",4.39943867839346,1.48147695969368
"343","Mauldslie",2021,"01","03",75.5303089363459,4.32453401856386
"344","Maybole",2021,"01","03",13.7403514214543,2.62033686299219
"345","Meadowhead",2021,"01","03",34.8020711108218,3.54967689968829
"346","Nairn",2021,"01","03",2.31041496624524,0.83742714746774
"347","New Cumnock",2021,"01","03",33.2609227375008,3.50438321653992
"348","Nigg",2021,"01","03",39.2200198315867,3.66918732641791
"349","Peebles",2021,"01","03",4.95639006951745,1.60067766719057
"350","Philipshill",2021,"01","03",46.1318353014055,3.8315032821979
"351","Seafield",2021,"01","03",34.6919376922033,3.54650731679279
"352","Shieldhall",2021,"01","03",41.4450858046339,3.72436931736669
"353","Shotts",2021,"01","03",9.88047684257831,2.29056077401399
"354","Stirling",2021,"01","03",6.38365921014244,1.85374147685273
"355","Stonehouse",2021,"01","03",23.3921634736821,3.15240107198695
"356","Stornoway",2021,"01","03",0,"-Inf"
"357","Strathaven",2021,"01","03",29.9556206781213,3.39971697567246
"358","Troqueer",2021,"01","03",29.1003858572484,3.3707514337888
"359","Whitburn",2021,"01","03",140.24268925545,4.94337441652332
"360","Winchburgh",2021,"01","03",0.675094965055834,-0.392901909033767
"361","Allanfearn",2021,"01","04",19.1159938060422,2.95052535669631
"362","Allers",2021,"01","04",25.592075124154,3.2422827380975
"363","Alloa",2021,"01","04",31.1848701914891,3.43993304743901
"364","Annan",2021,"01","04",51.551074996722,3.9425730637222
"365","Armadale",2021,"01","04",51.7089857071624,3.94563157119279
"366","Bathgate",2021,"01","04",46.8086624932019,3.84606828180404
"367","Biggar",2021,"01","04",30.7739338392445,3.42666802774155
"368","Blackburn",2021,"01","04",2.06456677920459,0.724920412250803
"369","Blackridge",2021,"01","04",36.139941938947,3.58739867860349
"370","Blackwood",2021,"01","04",24.0523719851994,3.18023361893164
"371","Bothwellbank",2021,"01","04",35.6676228819786,3.57424335520952
"372","Bowhouse",2021,"01","04",23.3917927897945,3.15238522536271
"373","Carbarns",2021,"01","04",67.2845896461531,4.20893123043303
"374","Cupar",2021,"01","04",1.38450760629237,0.325344557504991
"375","Dalbeattie",2021,"01","04","NA","NA"
"376","Dalmarnock",2021,"01","04",10.3813789951937,2.34001372008854
"377","Dalmuir",2021,"01","04",49.0315450183313,3.89246386686014
"378","Dalscone",2021,"01","04","NA","NA"
"379","Dunfermline",2021,"01","04",3.18431806921742,1.15823815910385
"380","East Calder",2021,"01","04",70.554949637622,4.25639183370637
"381","Falkirk",2021,"01","04",30.0667023280715,3.40341832447753
"382","Fauldhouse",2021,"01","04",2.64464483453879,0.972536778236989
"383","Fort William",2021,"01","04",0,"-Inf"
"384","Fraserburgh",2021,"01","04",38.9758226711755,3.66294152238434
"385","Galashiels",2021,"01","04",50.0084938082991,3.91219286716681
"386","Guardbridge",2021,"01","04",1.22042383636469,0.199198205269679
"387","Hamilton",2021,"01","04",17.7843241051542,2.87831740103217
"388","Hatton",2021,"01","04",36.2730393447357,3.59107474754344
"389","Hawick",2021,"01","04",27.7869246806781,3.32456557482688
"390","Helensburgh",2021,"01","04",49.3140350172784,3.89820872648214
"391","Inverclyde",2021,"01","04",14.456055150839,2.67111336836559
"392","Ironmill Bay",2021,"01","04",18.3008427427729,2.90694711030468
"393","Kincardine",2021,"01","04",33.6866725179106,3.51710228489178
"394","Kirkcaldy",2021,"01","04",51.8250577621046,3.94787377288185
"395","Kirkwall",2021,"01","04",1.83723032096365,0.608259177232538
"396","Lanark",2021,"01","04","NA","NA"
"397","Lerwick",2021,"01","04",1.56861625399207,0.450193863844024
"398","Levenmouth",2021,"01","04",52.4595547931344,3.96004248780596
"399","Linlithgow",2021,"01","04",7.50965235917984,2.01618917431577
"400","Lockerbie",2021,"01","04",30.1400798857275,3.40585584368347
"401","Mauldslie",2021,"01","04",10.7089412350511,2.37107902196798
"402","Meadowhead",2021,"01","04",28.8334287227067,3.36153543356622
"403","Nairn",2021,"01","04","NA","NA"
"404","Newburgh",2021,"01","04",2.62560741561851,0.965312265701662
"405","Newport & Tayport",2021,"01","04",0.937669302607082,-0.064357947994328
"406","Nigg",2021,"01","04",18.3514020073686,2.90970597525328
"407","Peebles",2021,"01","04",0,"-Inf"
"408","Peterhead",2021,"01","04",4.95593844917065,1.60058654423268
"409","Philipshill",2021,"01","04",61.8572741546943,4.12482970153813
"410","Seafield",2021,"01","04",30.7123805712313,3.42466584923514
"411","Shieldhall",2021,"01","04",34.1083411506441,3.52954196290097
"412","Skellyton",2021,"01","04",272.623530600418,5.60809183468762
"413","Springfield",2021,"01","04",13.6227657329178,2.61174234419753
"414","St Andrews",2021,"01","04",13.8524077488059,2.62845906220324
"415","Stirling",2021,"01","04",3.63822916567918,1.29149707032728
"416","Stornoway",2021,"01","04",1.95568793658191,0.670742017259716
"417","Strathaven",2021,"01","04",9.20292762010624,2.21952165301065
"418","Swinstie",2021,"01","04",8.30882165623107,2.11731780052555
"419","Troqueer",2021,"01","04",14.5580955295412,2.67814723267077
"420","Whitburn",2021,"01","04",108.470144225814,4.68647496668906
"421","Winchburgh",2021,"01","04",1.56179863212435,0.445838126413265
"422","Allanfearn",2021,"02","05",20.0755947994991,2.99950488826061
"423","Allers",2021,"02","05",17.5189936984554,2.86328564655589
"424","Alloa",2021,"02","05",43.7230577503659,3.77787560025807
"425","Annan",2021,"02","05",14.9957079268979,2.70776402195006
"426","Armadale",2021,"02","05",16.6279857856103,2.8110871665434
"427","Bathgate",2021,"02","05",73.3817762816803,4.29567562525286
"428","Biggar",2021,"02","05",18.396608019254,2.91216630084131
"429","Blackburn",2021,"02","05",9.67184407304505,2.2692189917025
"430","Blackridge",2021,"02","05",109.484947184024,4.69578707116783
"431","Blackwood",2021,"02","05",73.3059028066778,4.2946411350729
"432","Bothwellbank",2021,"02","05",1.85987641570629,0.620510042349003
"433","Bowhouse",2021,"02","05",7.56495096794798,2.02352586578481
"434","Carbarns",2021,"02","05",103.131683450537,4.63600665177215
"435","Cupar",2021,"02","05",12.0135224692414,2.48603288778062
"436","Dalbeattie",2021,"02","05","NA","NA"
"437","Daldowie",2021,"02","05",68.7918369434002,4.23108508882145
"438","Dalmarnock",2021,"02","05","NA","NA"
"439","Dalmuir",2021,"02","05",35.3718657858389,3.56591675234462
"440","Dalscone",2021,"02","05","NA","NA"
"441","Dunfermline",2021,"02","05",19.1882727526767,2.95429929829159
"442","Dunnswood",2021,"02","05",71.6672013869106,4.27203320064442
"443","East Calder",2021,"02","05",19.3667689082561,2.96355865443173
"444","Falkirk",2021,"02","05",69.8491809220806,4.24633835939342
"445","Fauldhouse",2021,"02","05",18.2030230752943,2.90158768332731
"446","Fort William",2021,"02","05",0.611674819489008,-0.491554478385541
"447","Fraserburgh",2021,"02","05",19.6842507196519,2.97981886015346
"448","Galashiels",2021,"02","05",2.42293987222394,0.884981626100951
"449","Guardbridge",2021,"02","05",0,"-Inf"
"450","Hamilton",2021,"02","05",33.634248397709,3.51554484538901
"451","Harthill",2021,"02","05",3.49295125151827,1.25074700967757
"452","Hatton",2021,"02","05",43.286158334205,3.76783291494743
"453","Hawick",2021,"02","05",3.52191250772176,1.25900416811916
"454","Helensburgh",2021,"02","05",22.5400421362,3.11529337800651
"455","Inverclyde",2021,"02","05",15.5129694424327,2.74167641227639
"456","Ironmill Bay",2021,"02","05",8.04284020078812,2.08478227961417
"457","Kincardine",2021,"02","05",338.125976277803,5.82341853692465
"458","Kirkcaldy",2021,"02","05",9.80926075324558,2.28332691428988
"459","Kirkwall",2021,"02","05",0,"-Inf"
"460","Lanark",2021,"02","05",22.9887354517323,3.13500433298793
"461","Lerwick",2021,"02","05",0,"-Inf"
"462","Lesmahagow",2021,"02","05",127.351026476501,4.84694726167175
"463","Levenmouth",2021,"02","05",25.7807357932381,3.2496275383465
"464","Linlithgow",2021,"02","05",5.25531149685347,1.65923927885254
"465","Lockerbie",2021,"02","05",1.93656529356843,0.660915936713025
"466","Lossiemouth",2021,"02","05","NA","NA"
"467","Mauldslie",2021,"02","05",77.9450143449981,4.35600363380463
"468","Maybole",2021,"02","05",1.80344254667987,0.589697364286168
"469","Meadowhead",2021,"02","05",41.0346538577818,3.71441692575383
"470","Nairn",2021,"02","05",0.843697304298691,-0.169961492910254
"471","New Cumnock",2021,"02","05",1539.12125450801,7.33896691858974
"472","Newburgh",2021,"02","05",0.838554909946303,-0.17607521394014
"473","Newport & Tayport",2021,"02","05",1.46017569225696,0.378556765642611
"474","Nigg",2021,"02","05",11.870604050495,2.47406509616377
"475","Peebles",2021,"02","05",0,"-Inf"
"476","Peterhead",2021,"02","05",40.9221859910323,3.71167236074729
"477","Philipshill",2021,"02","05",26.4213283437959,3.27417157579379
"478","Seafield",2021,"02","05",17.5325315334812,2.86405810000032
"479","Shieldhall",2021,"02","05",59.112789459425,4.07944730471292
"480","Shotts",2021,"02","05",48.6847332520423,3.88536549535732
"481","Skellyton",2021,"02","05",108.671195749537,4.68832677050679
"482","Springfield",2021,"02","05",4.54002234356572,1.51293193353139
"483","St Andrews",2021,"02","05",1.5909491467091,0.464330785745573
"484","Stirling",2021,"02","05",60.8077685915393,4.10771755369702
"485","Stonehouse",2021,"02","05",7.73130257381117,2.04527735730513
"486","Stornoway",2021,"02","05",26.4160497712487,3.27397177130867
"487","Strathaven",2021,"02","05",8.16520174663919,2.09988143482987
"488","Swinstie",2021,"02","05",44.081866131679,3.78604849905924
"489","Whitburn",2021,"02","05",26.8335521188127,3.28965304921929
"490","Winchburgh",2021,"02","05",5.06469189021871,1.62229330469907
"491","Allanfearn",2021,"02","06",26.2135981107391,3.26627828798725
"492","Allers",2021,"02","06",5.99830139750524,1.79147632873177
"493","Alloa",2021,"02","06",48.4708792401079,3.88096318957532
"494","Annan",2021,"02","06",17.3143996359084,2.85153850418993
"495","Armadale",2021,"02","06",34.8969704755303,3.5524000195818
"496","Bathgate",2021,"02","06",100.084074383699,4.60601057659795
"497","Biggar",2021,"02","06",2.44097550018353,0.892397754565505
"498","Blackburn",2021,"02","06",19.7851723292655,2.98493278489627
"499","Blackridge",2021,"02","06",139.608876934744,4.93884477666438
"500","Blackwood",2021,"02","06",6.213235055148,1.82668170315973
"501","Bothwellbank",2021,"02","06",13.9693411786458,2.63686501243211
"502","Bowhouse",2021,"02","06",6.67239622656314,1.89797904976843
"503","Carbarns",2021,"02","06",41.6954466251276,3.73039192920067
"504","Coldstream",2021,"02","06",10.2104723595109,2.32341389550513
"505","Cupar",2021,"02","06",0.721633955454577,-0.326237255555645
"506","Dalbeattie",2021,"02","06",3.87716566989951,1.35510438924333
"507","Daldowie",2021,"02","06",36.5497762178899,3.59867506354749
"508","Dalmarnock",2021,"02","06","NA","NA"
"509","Dalmuir",2021,"02","06",34.1490005987021,3.53073332054324
"510","Dalscone",2021,"02","06","NA","NA"
"511","Dunfermline",2021,"02","06",8.67278342311935,2.16018977999878
