,Site,Year,Month,Week,x
4259,Nigg,2020,09,36,1156
4260,Peebles,2020,09,36,0
4261,Philipshill,2020,09,36,7845
4262,Seafield,2020,09,36,1691
4263,Shieldhall,2020,09,36,9095
4264,Stirling,2020,09,36,0
4265,Stornoway,2020,09,36,0
4266,Troqueer,2020,09,36,0
4267,Allanfearn,2021,09,36,552046.5
4268,Allers,2021,09,36,1081826
4269,Alloa,2021,09,36,611193.5
4270,Alva,2021,09,36,538901.5
4271,Annan,2021,09,36,897852
4272,Ardoch,2021,09,36,NA
4273,Armadale,2021,09,36,1102894
4274,Aviemore,2021,09,36,162181.5
4275,Banchory,2021,09,36,616747.5
4276,Banff,2021,09,36,862369
4277,Bathgate,2021,09,36,205206
4278,Blackburn,2021,09,36,351256.333333333
4279,Blackridge,2021,09,36,439697
4280,Blackwood,2021,09,36,NA
4281,Boness,2021,09,36,622443.5
4282,Bonnybridge,2021,09,36,483756
4283,Bothwellbank,2021,09,36,1298700
4284,Bowhouse,2021,09,36,409775
4285,Buckie,2021,09,36,99632
4286,Carbarns,2021,09,36,3353197
4287,Coldstream,2021,09,36,269381
4288,Cumnock,2021,09,36,143341
4289,Cupar,2021,09,36,285446
4290,Dalbeattie,2021,09,36,NA
4291,Dalmarnock,2021,09,36,784106.5
4292,Dalmuir,2021,09,36,1449988.5
4293,Dalmuir - Auchinairn (6298),2021,09,36,55533
4294,Dalmuir - Auchinairn (6330),2021,09,36,153206
4295,Denny,2021,09,36,2981.5
4296,Dunblane,2021,09,36,173898
4297,Dunfermline,2021,09,36,1941023
4298,Dunnswood,2021,09,36,1819957
4299,Duns,2021,09,36,21142
4300,East Calder,2021,09,36,495449
4301,Ellon,2021,09,36,459370
4302,Eyemouth,2021,09,36,17043
4303,Fairlie,2021,09,36,19363.5
4304,Falkirk,2021,09,36,323595
4305,Fauldhouse,2021,09,36,694857
4306,Forfar,2021,09,36,319396
4307,Fort William,2021,09,36,759466.5
4308,Fraserburgh,2021,09,36,350798.5
4309,Galashiels,2021,09,36,94555
4310,Girvan,2021,09,36,367662
4311,Guardbridge,2021,09,36,259002
4312,Hamilton,2021,09,36,2474556
4313,Harthill,2021,09,36,NA
4314,Hatton,2021,09,36,343036
4315,Hatton - Fintry East,2021,09,36,1395889
4316,Hatton - Fintry North,2021,09,36,1631776
4317,Hawick,2021,09,36,28458
4318,Helensburgh,2021,09,36,977285
4319,Huntly,2021,09,36,35337.5
4320,Inverclyde,2021,09,36,384751
4321,Inverclyde - Gourock,2021,09,36,117133
4322,Inverurie,2021,09,36,792806.5
4323,Ironmill Bay,2021,09,36,147980.5
4324,Kelso,2021,09,36,101466.5
4325,Kirkcaldy,2021,09,36,1170966
4326,Kirkwall,2021,09,36,73920
4327,Lanark,2021,09,36,791669
4328,Langholm,2021,09,36,1636393
4329,Largs,2021,09,36,102751.5
4330,Lerwick,2021,09,36,13461.5
4331,Lesmahagow,2021,09,36,127113
4332,Linlithgow,2021,09,36,412222
4333,Loch Ryan,2021,09,36,138410.5
4334,Lockerbie,2021,09,36,494480
4335,Lossiemouth,2021,09,36,135212
4336,Maybole,2021,09,36,386705
4337,Meadowhead,2021,09,36,409239.5
4338,Meadowhead - Kilmarnock HMP,2021,09,36,297567
4339,Nairn,2021,09,36,51333
4340,Neilston,2021,09,36,209332
4341,New Cumnock,2021,09,36,347746
4342,Newburgh,2021,09,36,105282
