,Health_Board,Site,Latitude_dd,Longitude_dd,Population,2020-05-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-32,2020-08-33,2020-08-34,2020-08-35,2020-08-36,2020-09-36,2020-09-37,2020-09-38,2020-09-39,2020-09-40,2020-10-40,2020-10-41,2020-10-42,2020-10-43,2020-10-44,2020-11-45,2020-11-46,2020-11-47,2020-11-48,2020-11-49,2020-12-49,2020-12-50,2020-12-51,2020-12-52,2020-12-53,2021-01-01,2021-01-02,2021-01-03,2021-01-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-05-18,2021-05-19,2021-05-20,2021-05-21,2021-05-22,2021-06-22,2021-06-23,2021-06-24,2021-06-25,2021-06-26,2021-07-26,2021-07-27,2021-07-28,2021-07-29,2021-07-30,2021-08-31,2021-08-32,2021-08-33,2021-08-34,2021-08-35,2021-09-35,2021-09-36,2021-09-37,2021-09-38,2021-09-39,2021-10-39,2021-10-40,2021-10-41,2021-10-42,2021-10-43,2021-11-44,2021-11-45,2021-11-46,2021-11-47,2021-11-48,2021-12-48,2021-12-49,2021-12-50,2021-12-51,2021-12-52,2022-01-01,2022-01-02,2022-01-03,2022-01-04,2022-01-05,2022-02-05,2022-02-06
108,Grampian,Nigg - Torry,57.1321800833327,-2.06148567537157,100k +,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35124.75,2132,NA,2039,11887.5,25056,4700.5,0,1011,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
109,Grampian,Oban,56.4151429316321,-5.47102505531149,100k +,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22122.5,NA,NA,NA,NA,30152,11642,NA,NA,34709,9001
110,Greater Glasgow and Clyde,Paisley,55.8590966579125,-4.42142030240103,10k - 100k,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40383.5,24964,40102,59585.5,25817,36387,3652,NA,3679,10464,NA,5112.5,9755,4107,2213.5,20738,52745,22987,23996.5,26198,34501,82772,NA,177563,194404,215196,111073,98567,6887,282408,NA,916470,782909,517483,238883,179108,57305,NA,60053.5,112137.5,38185,37588,39033.75,81587,158333.333333333,84970.6666666667,105577,69835,61776,189719.5,352615,469200,106937.25,63848.25,53225.75,87097.5,133034,55577,33669.5
111,Greater Glasgow and Clyde,Paisley - Airport,55.8590966579125,-4.42142030240103,10k - 100k,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20787.4,9390,NA,1176,316,908,51539,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
112,Greater Glasgow and Clyde,Paisley - Blackhall,55.8590966579125,-4.42142030240103,10k - 100k,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25259.25,10300,NA,5055.5,305.5,2249.5,39020.5,163942,NA,45619.5,38513,80287,1069635,218742,339584,106280.5,131070,196506,37391.5,66035,13224.5,142054.5,223024,NA,628750,333293,339762,NA,NA,NA,89740,NA,24877,5457,101499.5,155404,81543,296669,NA,NA,NA,131195.5,NA,NA,56340,59652.5,NA,NA,NA,NA,NA
113,Greater Glasgow and Clyde,Paisley - Brediland,55.8590966579125,-4.42142030240103,10k - 100k,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1886.8,258.5,NA,0,0,596.5,277766,7612.5,NA,451,12637.5,243.5,54166,0,38290,8370,10008,4994,4745.5,40506.5,1381.5,0,9458,NA,11238,2380,15914,830,NA,NA,107762,NA,0,729.5,0,27382.5,19024.5,14856.5,NA,NA,12024,1138.5,NA,NA,0,23455,NA,NA,NA,NA,NA
114,Borders,Peebles,55.6474639667491,-3.1617011794559,4k - 10k,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,0,3201,7537,2820,NA,0,1967,69418,2374,0,3550,5049,6007,NA,5026,4847,2234,NA,3456,9128,20568,4058,0,0,2821,NA,2184,464,322,0,0,0,NA,NA,0,NA,3279,0,0,637,0,NA,0,622,NA,7420,8945,NA,46968,NA,14299,67972,98077,15065,48722,32348,NA,72992,28456,NA,1234,1787,NA,10,53516.5,34595,NA,30275,25382,102401,NA,NA,NA,22306,NA,NA,NA,42658,44923,67412,46297,NA,83538,NA
115,Lothian,Penicuik,55.8354080061792,-3.20444102005621,10k - 100k,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,185357,1973,20328,5891,44102,14165,4615,NA,0,18341,NA,1202,27256,8965,196734,90792,NA,30379,102458,50799,112360,263935,NA,367658,469573,NA,105297,NA,NA,NA,541256,NA,684361,NA,423665,NA,268702,NA,NA,224338,78643,227946,61952,104546,193434,161565,NA,NA,NA,243452,NA,NA,230185,142384,NA,NA,NA,84586,NA
116,Grampian,Persley,57.1787308615722,-2.15680345894478,10k - 100k,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,363878,284457.5,265738,344301,191887,NA,87794,119445,NA,NA,NA,364291,NA,NA,NA,610173,144655
117,Grampian,Persley - Northfield,57.1787308615722,-2.15680345894478,10k - 100k,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41492.3333333333,3247.5,197,0,11251.5,10957.5,372083,5137,1637,721,1250.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
118,Tayside,Perth,56.3833560221297,-3.38359679652948,10k - 100k,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23845.5,27747.5,6915.5,12604.5,14274.5,8498,2509,5255,4455.5,6836.5,NA,9254,3920,5524,1281.5,11609.5,NA,32989,40225.5,52920.5,46431.5,65651,NA,39541.5,131329,63810.5,58019.5,NA,NA,170479,NA,591290,179722,281156,347741.5,166185.5,519797,NA,101485,104946,128447.5,199957.5,69675.6666666667,222481.666666667,204169,165739.5,184422,151952,97332.6666666667,121053.5,40483,146215,328296,92126.3333333333,57533,62773,58078,209248,172317.5
119,Grampian,Peterhead,57.4875322469158,-1.79030502329802,10k - 100k,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6188,71968,3803.66666666667,3937.66666666667,3013.33333333333,489,993.333333333333,1298.66666666667,518.333333333333,913.5,1181,326.666666666667,372,0,1018,10367.5,664,639.5,1098,0,3514,483,419.5,4409.5,8047,10232,8271,9080,2742,12859.5,5426.5,36189,55751,19149,NA,95609,68603,155660,27397,152820,56782,36424,58082.5,23101,106390,48649.5,16367,49665.5,34969,53696,NA,41341,69042,NA,345195,NA,96145.5,51374,253207,80572,68330,NA
120,Lanarkshire,Philipshill,55.7774390811626,-4.22917340212711,10k - 100k,0,405,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,670,NA,7845,1612,19346,12601,NA,29868,98134,53886,98972,119819,42714,34310,153337,21438.5,177194,142278,21854.5,47530,NA,119652,81968,105054,56755,147037,57775,20998,21906,11823,23927,24356,14528,20563,NA,18068,11646,25106,NA,25070,11385,11815,1595,20816,46633,NA,39946,24692,48232,NA,186421,147096,149783,118874,338275,115310,160684,145814,892467,877169,NA,553786,260924,598237,NA,91985,147280,173022,91182,87861,69310.6666666667,123248.666666667,96962.5,138115,175074,NA,95878,278825,NA,NA,121420.5,195950.333333333,124628,135096.666666667,NA,145862,180872
121,Lanarkshire,Philipshill - Hairmyres Hospital,55.7774390811626,-4.22917340212711,10k - 100k,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
122,Lanarkshire,Philipshill - Stewartfield (3606),55.7774390811626,-4.22917340212711,10k - 100k,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,136.6,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
123,Lanarkshire,Philipshill - Stewartfield (7801),55.7774390811626,-4.22917340212711,10k - 100k,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,236.333333333333,NA,NA,4444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
124,Dumfries and Galloway,Sanquhar,55.3606878798468,-3.92275642373636,0 - 2k,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,12041.5,8243,11322.5,1025,NA,1843.5,182288,149634,91303,44717,NA,181028.5,10849.5,80178.5,34823,NA,NA,NA,43425,994160,NA,546176,182248,NA,NA,NA,60681,NA,9979.5,5958,4672.5,NA,15973.5,368635,NA,NA,NA,11759,NA,NA,NA,NA,47116,NA,NA,18526,NA
125,Lothian,Seafield,55.9712021918324,-3.14543306383502,100k +,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1594,3866,1691,9357,NA,25637,32581,NA,NA,51873,25333,43502,40763,26283,11841,NA,NA,57888,27505,23828,NA,NA,164158,102807,58557,62618,26853,14852,151288,28603,27966.3333333333,23148.3333333333,16923.3333333333,23737,13062,11869,7960.33333333333,8884.5,5793,3216,4411.33333333333,8360.66666666667,12643,21736.6666666667,29298,54547.5,68605.6666666667,77748.6666666667,80383,222126,593905,145666.666666667,129971.5,109238.5,73713.5,81990.3333333333,65969.3333333333,161808.666666667,213909.666666667,NA,295955.5,402868.333333333,356775,175045.666666667,209692.5,123845,41514.6666666667,99128,59975.3333333333,132837.666666667,87309.25,74420.75,121271.75,204448.666666667,199784,97887,125654.75,384442.5,530500,335513,227308.5,173123.75,171114.75,146491.75,228986,106953.666666667,275491.333333333
126,Lothian,Seafield - Cockenzie,55.9712021918324,-3.14543306383502,100k +,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,660.25,9878.5,15877,292763,1889679,480810,55788,512881,106149,24813,62549,94424,137849,NA,121966,NA,NA,NA,NA,44920,NA,NA,NA,40115,NA,95407,8330,1150761,NA,NA,NA,24577,28044.5,NA,NA,536188,99976,94457,NA,NA,NA,NA
127,Lothian,Seafield - Craigmillar,55.9712021918324,-3.14543306383502,100k +,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27701,248429,29108,62235,NA,NA,41904,70171.5,NA,NA,150989.5,NA,104701,NA,NA,NA,NA
128,Lothian,Seafield - Muirhouse,55.9712021918324,-3.14543306383502,100k +,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5443,265478,182575,473818,NA,NA,81047,52657,NA,NA,300188,70162,NA,NA,NA,NA,104078
129,Lothian,Seafield - Restalrig,55.9712021918324,-3.14543306383502,100k +,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,209135,188034,100241,188498,NA,NA,NA,458335,NA,NA,243617,83183,274750,NA,NA,NA,1448156
130,Lothian,Seafield - Tranent,55.9712021918324,-3.14543306383502,100k +,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1111,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
131,Lothian,Seafield - Western General,55.9712021918324,-3.14543306383502,100k +,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89872,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
132,Borders,Selkirk,55.5588232441839,-2.83473194586627,4k - 10k,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1767,0,1172.5,0,NA,0,0,2568,452,0,NA,0,NA,NA,NA,26994,70591,15905,NA,20722,0,NA,NA,NA,NA,59180,89895,123687,13500,NA,38785,NA,12065,NA,95269.5,56824.5,5693,97776.5,64969,68583,NA,NA,8305,NA,NA,NA,60977,NA,NA,NA,NA,39468.5,NA
133,Greater Glasgow and Clyde,Shieldhall,55.8637148184202,-4.34491168360078,100k +,1462,845.5,1162,538,237.8,0,0,0,207,0,NA,0,1463.25,1547.25,1745.25,6013,9095,12183.25,10151.75,31926,46897.3333333333,57776,19613,54728.6666666667,70466.75,47161.25,23210.5,70790,18249.75,21237.6666666667,67494,56144,48916.4,16515.3333333333,30184,89685,121552.75,92058,53587.6666666667,53915.3333333333,84951,44380.6666666667,40931.3333333333,29926.3333333333,57308.3333333333,27772.5,36695.25,30688,8268,20378.5,18428.75,16119,NA,19573,12155,44601.5,78424.5,50553.5,88512,74302,NA,27952,72382.5,130375,148356,110446,152704,106523.5,91846.5,73017,82182.5,316145.5,340234,404384,658446,500617.5,283209,288141.5,141559,NA,81291,124687.333333333,100758.5,51034,72123.5,85502.5,97104.75,122435.666666667,170482,113596,64978.25,136395.5,379046,620629,48666.6666666667,77277.5,96144.75,92032.5,NA,74219.5,48995
134,Greater Glasgow and Clyde,Shieldhall - Barrhead,55.8637148184202,-4.34491168360078,100k +,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3494,17590.5,3323,7614,NA,NA,17027,6014.5,4310,32991,NA,22543.5,29829,2735,136352.5,127431,336462,45383,219429,239743,65296,47439,519126,121498.5,420980.5,306759,713180,227920,564946,85436,151368,NA,NA,NA,NA,143518,209947,982444,163093,332755.5,NA,NA,246063,355247,NA,NA,147461,126901,NA,NA,NA,NA,NA
135,Greater Glasgow and Clyde,Shieldhall - Gorbals,55.8637148184202,-4.34491168360078,100k +,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7161.33333333333,2291.5,13550.5,22393.5,NA,NA,7229,62787.5,195909,151453.5,NA,18303,103029.5,15978,78032.5,73467,297804,144230,81175,66791,31982.5,45923.5,31256,89048.5,301957.5,59565,74444,117740,144149,102466,88457,NA,NA,NA,19733,15533.5,94976.5,57156,560835,32358,NA,NA,17048,87993,NA,NA,45915,146546,NA,NA,NA,NA,NA
136,Greater Glasgow and Clyde,Shieldhall - Govanhill,55.8637148184202,-4.34491168360078,100k +,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56031.6666666667,33949.5,99494,32677.5,NA,NA,206768,1080061,1468930.5,177504.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
137,Greater Glasgow and Clyde,Shieldhall - IMAX,55.8637148184202,-4.34491168360078,100k +,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1356.5,20124.2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
138,Greater Glasgow and Clyde,Shieldhall - Pollockshields West,55.8637148184202,-4.34491168360078,100k +,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,248052.4,38181,100255.5,258431,62360,31229,10730,60707,22145.5,7404.5,NA,37600.5,851488.5,47213,2174801,165526,244475,83750,38599,NA,39411,NA,NA,4051.5,175950,139052.5,117817,105233.5,NA,NA,18194,30017.5,NA,NA,24480.5,NA,21460,108578,NA,33537,51670.5
139,Greater Glasgow and Clyde,Shieldhall - Science Centre,55.8637148184202,-4.34491168360078,100k +,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,4156,0,37686.8,2781.25,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
140,Lanarkshire,Shotts,55.8148629730862,-3.81122405591491,4k - 10k,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62115,71297,7086,NA,70955,94781,62161,46156,17567,51129,28489,48062,NA,5493,9949,22946,NA,12753,25921,51933,6929,2002,NA,0,30217,12032,17693,NA,98613,296213,NA,305886,283855,NA,NA,191062,NA,160885,NA,NA,567675,NA,NA,NA,NA,NA,NA,82867,34417,NA,137049,NA,182448,NA,77617,291463,NA,NA,NA,83818,NA,NA,NA,162128,258635
141,Lanarkshire,Skellyton,55.7451404115579,-3.95936920791938,10k - 100k,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,152127,NA,396220,174325,NA,44522,5816,195654,6772,7773,NA,NA,2221,6071,NA,NA,57653,2776,4033,NA,29114,NA,24463,34342,39901,163450,NA,220162,NA,NA,1006023,372332,NA,NA,NA,518244,906709,NA,NA,227120,NA,149447,NA,138771,NA,335446,NA,114596,198797,110356,NA,NA,NA,138156,509829,NA,NA,120166,NA,NA,NA,NA,NA,3495
142,Fife,Springfield,56.2926726539988,-3.05408233288403,2k - 4k,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8790,1227,2854.5,230.5,1755.5,1528.5,3231,21346,8266,5588,42516,14529.5,1810,NA,374,3166,217,285.5,0,854,NA,2749.5,11342.5,16915.5,5300,NA,NA,76328,68345,503563,NA,NA,70517,NA,436800,585907,1223607,228867,52502,163970,NA,48847,NA,34405,189298.5,54897.5,57629,66848,81900,NA,NA,76783,723177.5,NA,NA,119363,58834,51982,30488,NA,63841,128596.5
143,Fife,St Andrews,56.3295995077312,-2.75704928705797,10k - 100k,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19254,2285.5,0,0,26913,3501.5,1747,20207,20706,48007,35392,32022.5,3576,NA,4973,1376.5,3238,16690,3781.5,31017,14080,19768,18153,63126,NA,NA,116010,151441.5,83431,81720.5,56843,NA,NA,NA,148749,143927,461618.5,127761,196542,197549.5,NA,144603.5,139994,147331,414770,71946,107982,465735.5,595227,NA,NA,41433,103447,NA,79869,77373,NA,NA,NA,NA,97213,NA
